article type,Article Number,link,Journal,Year,Author,Host,Host_name,Host_number,Pathogen group,Pathogen_group_number,Pathogen_species,Pathogen_species_number,Environment,Environment_number,Inoculation (yes/no),Disease variable,scale_type,Author's definition,min,max,Description,Measure reference,Disease index?,Sample unit (type),Sample size,Observation,Transformation,anova_type,means_separation,Replicates_n,Replicates_max,Units_per_replicate,Sample_size_parse_status,,analysis_method,analysis_family,comparison_methods,comparison_number,comparison_family
original article,1,https://doi.org/10.1007/s13313-011-0088-0,Australasian Plant Pathology,2011,"B. L. Shearer, C. E. Crane",Lambertia taxa,Lambertia,1,Oomycete,1,Phytophthora cinnamomi,1,Greenhouse / Shadehouse,2,Yes,Incidence,Continuous,Percentage plant mortality calculated for assessment times after inoculation,0,100,Disease progress curves of percentage plant mortality modelled with logistic model,Meyer et al. 1999 (Loglet Lab),No,Pot / Plant,10 replicates (single plant per pot),Thrice weekly for 5 months,Log,Anova,Fisher LSD,10,,,Parsed replicate count,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,8,https://doi.org/10.1007/s13313-011-0090-6,Australasian Plant Pathology,2011,"J. M. Anderson, K. G. Pegg, C. Scott, A. Drenth",Pineapple,Pineapple,1,Oomycete,1,Phytophthora cinnamomi,1,Greenhouse / Field,2,Yes,Incidence,Continuous,Percentage of dead plants out of total plants per plot,0,100,Incidence of heart rot recorded as percentage of dead plants out of 30 plants per plot,,No,Plot,2 replications with 30 plants per plot,"11, 14, 20 weeks after planting",Angular transformation,Repeated Measures Anova,Fisher LSD,2,,30,Parsed replicate count,,Repeated-measures ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,16,https://doi.org/10.1007/s13313-011-0101-7,Australasian Plant Pathology,2011,"Mary Grace B. Saldajeno, Masanori Ito, Mitsuro Hyakumachi","Cucumber, bentgrass, tomato","Cucumber, bentgrass, tomato",3,Fungi,1,Rhizoctonia solani AG-4 / Rhizoctonia solani AG2-2 / Fusarium oxysporum f. sp. radicis-lycopersici,3,Growth chamber / Greenhouse,2,Yes,Severity,Ordinal,Sum of DI/total number of plants. DI on a 0-4 scale for each,0,4,Disease severity calculated based on disease index 0-4,,Yes,Plant,"3 replicates, repeated at least thrice. n=12 (cucumber), n=9 (bentgrass, tomato)","7 days (cucumber), 7 weeks (bentgrass), 10 weeks (tomato)",,Anova (two-way),Fisher LSD,3,,,Parsed replicate count,,Two-way ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,18,https://doi.org/10.1007/s13313-011-0107-1,Australasian Plant Pathology,2011,"Patrícia Baston Barretti, Ricardo Magela de Souza, Edson Ampélio Pozza, Jorge Teodoro de Souza",Tomato,Tomato,1,Bacteria,1,Ralstonia solanacearum,1,Greenhouse,1,Yes,AUDPC,Continuous,AUDPC calculated from disease severity assessed every 5 days using Winstead and Kelman scale,0,,AUDPC based on disease severity,Shaner and Finney (1977); Winstead and Kelman (1952),No,Plant,2 plants per experimental plot in 4 or 5 replicates,30 days after inoculation,,Anova,Scott-Knott,5,,,Parsed replicate count,,ANOVA,ANOVA-based,Scott–Knott,1,Multiple-comparison procedure
original article,34,https://doi.org/10.1007/s13313-011-0113-3,Australasian Plant Pathology,2012,"Kirstin Lee McLean, Mark Braithwaite, Jayanthi Swaminathan, Alison Stewart",Onion,Onion,1,Fungi,1,Stromatinia cepivora,1,Field,1,No,Incidence,Continuous,Percentage disease calculated relative to plant emergence,0,100,Number of diseased plants over emerged plants,,No,Plot,4 to 6 replicate plots depending on the trial,Monthly intervals following seed sowing,,Anova,Fisher LSD,4,6,,Parsed replicate count,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,35,https://doi.org/10.1007/s13313-012-0119-5,Australasian Plant Pathology,2012,"Li-Hua Chen, Ya-Qing Cui, Xing-Ming Yang, Di-Kun Zhao, Qi-Rong Shen",Cucumber,Cucumber,1,Fungi,1,Fusarium oxysporum f. sp. cucumerinum,1,Laboratory / Greenhouse,2,Yes,Index / Dry weight,Continuous,"Disease index based on a scale of 5 (0: healthy, 5: whole plant died), converted to percentage",0,100,"Wilt development rated on a scale of 0-5, converted to percentage disease index",Chen et al. 2011a,Yes,Pot / Plant,"3 replicates, 5 plants per pot",Every day after transplanting,,Anova,Duncan's MRT,3,,5,Parsed replicate count,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,36,https://doi.org/10.1007/s13313-012-0138-2,Australasian Plant Pathology,2012,"Ma. Eugenia Cisneros-Lopez, Leopoldo E. Mendoza-Onofre, Victor E. Gonzalez-Hernandez, Noe Montes-Garcia",Sorghum,Sorghum,1,Fungi,1,Claviceps africana,1,Field,1,No,Incidence / Severity,Continuous,Incidence = number of plants showing signs; Severity = average percentage of florets with ergot symptoms,0,100,"Disease severity visually rated using a specific percentage scale (0, 1, 5, 10, or 20%)",,Yes,Plot / Panicle,4 to 12 replications depending on row ratio,Once physiological seed maturity stage was reached,Arcsine transformed,Anova,Tukey's HSD,4,12,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,39,https://doi.org/10.1007/s13313-012-0180-0,Australasian Plant Pathology,2013,"A. Watson, S. L. Browne, M. G. Snudden, E. M. Mudford",Bean,Bean,1,Oomycete,1,Aphanomyces euteiches,1,Greenhouse / Field,2,Yes,Incidence / Severity,Continuous,"Disease ratings from 0 to 5 (0=no disease, 5=severe necrosis) or percentage of plants with hypocotyl lesions",0,100,Disease assessed by examining hypocotyl region for browning (0-5 scale) or % of plants with lesions,,Yes,Pot / Plot,"Various (e.g. 10 pots with 5 seeds each, 3 replicates)","Various (e.g. 1 month after sowing, 4 weeks, 6 weeks)",,GLMM,Fisher LSD,3,,,Parsed replicate count,,GLMM,Mixed model,Fisher's LSD,1,Multiple-comparison procedure
original article,57,https://doi.org/10.1007/s13313-015-0394-z,Australasian Plant Pathology,2016,"M. Khani, J. A. Davidson, M. R. Sosnowski, E. S. Scott",Field pea,Field pea,1,Fungi,1,Phoma koolunga,1,Growth chamber,1,Yes,Index,Ordinal,"Necrotic index = sum(ni * di) / N, where ni is number of seedlings in each disease category, di is the value of disease category and N is the total number of seedlings assessed based on a 0 to 5 scale",0,5,Necrotic index or disease severity score based on a 0-5 scale,"Moussart et al. (1998)"";""Onfroy et al. (2009)",Yes,Plant,"four replications, each with 20 seeds",21 days post-inoculation,,Anova,,4,,20,Parsed replicate count,,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,79,https://doi.org/10.1007/s13313-017-0467-2,Australasian Plant Pathology,2017,"K. L. Nechet, E. S. D. Vilela, D. W. Heck, D. Terao, B. A. Halfeld-Vieira",Strawberry,Strawberry,1,Fungi,1,Botrytis cinerea,1,Field,1,Yes,Incidence,Continuous,incidence of B. cinerea,0,100,Incidence of Botrytis cinerea (gray mold),,No,Plant,,during five weeks per season,,Anova,Tukey's HSD,,,,Not reported,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,89,https://doi.org/10.1007/s13313-017-0496-x,Australasian Plant Pathology,2017,"R. Mostowfizadeh-Ghalamfarsa, K. Hussaini, R. Ghasemi-Fasaei",Pistachio,Pistachio,1,Oomycete,1,Phytophthora pistaciae,1,Greenhouse,1,Yes,Incidence,Continuous,percentage of colonized roots and the mortality of the hosts,0,100,Percentage of colonized roots and host mortality,,No,Plant,four replications for each combination,,,Anova,Duncan's MRT,4,,,Parsed replicate count,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,100,https://doi.org/10.1007/s13313-018-0598-0,Australasian Plant Pathology,2018,"E. A. Sandoval Cruz, C. R. McGill, R. C. Southward, C. M. McKenzie, S. D. Card, X. Z. He, M. Wang, M. P. Rolston, R. J. Chynoweth",Perennial ryegrass,Perennial ryegrass,1,Fungi,1,Gloeotinia temulenta,1,Field,1,Yes,Incidence,Continuous,assess blind seed incidence,0,100,Incidence of blind seed disease assessed on non-germinated seed,Matthews (1981),No,Seed,four times in a randomised block design,14 days,,,Fisher LSD,,,,"Reported, complex/unparsed",,Not reported,Not reported,Fisher's LSD,1,Multiple-comparison procedure
original article,119,https://doi.org/10.1007/s13313-018-0594-4,Australasian Plant Pathology,2018,"T. T. T. Tran, T. Q. Pham, Paul A. Barber, C. M. Nguyen",Acacia,Acacia,1,Fungi,1,Ceratocystis manginecans,1,Greenhouse,1,Yes,Index,Ordinal,DI = sum(class of disease score x number of seedlings in class) / total number of seedlings... 0-4 scale,0,4,Disease index estimating the severity of Ceratocystis wilt based on a 0-4 scale,,Yes,Plant,,After 40 days,,Anova,Duncan's MRT,,,,Not reported,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,149,https://doi.org/10.1007/s13313-019-00636-0,Australasian Plant Pathology,2019,"Shashikant B. Ghule, Indu S. Sawant, Sanjay D. Sawant, Sujoy Saha, R. M. Devarumath",Grapevine,Grapevine,1,Fungi,1,Erysiphe necator,1,Field,1,No,Severity,Ordinal,"ratings 0-5 scale... 0 = no infection, 1 = 1%-10% of the leaf area infected... 5 = 76%-100% powdery mildew infection",0,5,Powdery mildew severity on leaves based on a 0-5 scale of infected area,Horsfall and Heuberger 1942,Yes,Leaf,100 leaves per replicate,,,Anova,Duncan's MRT,,,100,"Reported, complex/unparsed",,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,154,https://doi.org/10.1007/s13313-020-00695-8,Australasian Plant Pathology,2020,"A. Wilson, W. S. Cuddy, R. F. Park, G. F. S. Harm, M. J. Priest, J. Bailey, M. C. Moffitt",Wheat,Wheat,1,Fungi,1,Puccinia triticina,1,Laboratory,1,Yes,Severity,Continuous,rust pustule number,0,,Number of rust pustules on leaf sections,,No,Leaf,Three replicates,,,,Tukey's HSD,3,,,Parsed replicate count,,Not reported,Not reported,Tukey,1,Multiple-comparison procedure
original article,202,https://doi.org/10.1007/s13313-021-00783-3,Australasian Plant Pathology,2021,"P. A. Rheinlander, P. W. Sutherland, P. A. G. Elmer",Kiwifruit,Kiwifruit,1,Bacteria,1,Pseudomonas syringae pv. actinidiae,1,Laboratory,1,Yes,Pathogen cell size,Continuous,length and width of Psa cells,0,,Length and width of Psa cells measured in micrometers,,No,Cell,total of 113 and 93 cells,"7 days after inoculation, 10 days after inoculation",,Anova,,,,,"Reported, complex/unparsed",,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,221,https://doi.org/10.1007/s13313-021-00836-7,Australasian Plant Pathology,2022,"Gabriel Martins Ferreira, Rafaele Regina Moreira, Tiago Miguel Jarek, Cristiano Nunes Nesi, Luiz Antonio Biasi & Louise Larissa May De Mio",Vitis labrusca,Fox grape,1,Fungi,1,Plasmopara viticola,1,Field,1,Yes,Severity,Continuous,Percentage,0,100,Disease severity (AUDPC) evaluated as percentage area,Azevedo,No,Plant / Leaf,3 plants,,,Anova,Bartlett test,,,,"Reported, complex/unparsed",,ANOVA,ANOVA-based,t-test / Bartlett,2,Pairwise test / Other
original article,225,https://doi.org/10.1007/s13313-022-00877-6,Australasian Plant Pathology,2022,J. A. Davidson,Pisum sativum,Pea,1,Fungi,1,Didymella pinodes / Ascochyta pisi,2,Field,1,Yes,Index,Continuous,,0,100,Disease Index per plot based on node scores,Davidson,No,Plot,3 replicate blocks (5 plants per plot),mid-flowering,,Anova,,3,,5,Parsed replicate count,,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,226,https://doi.org/10.1007/s13313-022-00852-1,Australasian Plant Pathology,2022,"J. M. Anderson, J. R. Dean, K. G. Pegg",Pineapple,Pineapple,1,Fungi,1,Ceratocystis paradoxa,1,Laboratory,1,Yes,Average daily growth rate / Incidence / Severity,Ordinal,"0=no infection"";""5=complete colonisation of cut stem+all basal leaves",0,5,Base rot severity,,Yes,Crown,"20 fresh crowns, 6 well-cured crowns, or 20 crowns per treatment",,square root transformed,Anova / Kruskal-Wallis,Bonferroni adjustment,,,,"Reported, complex/unparsed",,ANOVA / Kruskal–Wallis,Parametric / Nonparametric,Bonferroni,1,Multiplicity adjustment
