journal_target,year,issn_used,issn_type,search_term,title,doi,cited_by_count,journal_openalex,openalex_id,pdf_url,file_name,file_path,downloaded
Australasian Plant Pathology,2025,1448-6032,issn_online,control,Evaluating antofine's dual effects: Controlling Sclerospora graminicola infection while improving physiological performance and yield in foxtail millet,https://doi.org/10.1007/s13313-025-01059-w,0,Australasian Plant Pathology,https://openalex.org/W4411394371,NA,2025_Australasian_Plant_Pathology_Evaluating_antofine_s_dual_effects_Controlling_Sclerospora_graminicola.pdf,pdfs/2025_Australasian_Plant_Pathology_Evaluating_antofine_s_dual_effects_Controlling_Sclerospora_graminicola.pdf,FALSE
Australasian Plant Pathology,2025,1448-6032,issn_online,control,Mechanisms of Cananga odorata essential oil in the control of black spot needle blight of Pinus sylvestris var. Mongolica Litv. (Pestalotiopsis neglecta): cell membrane integrity and permeability,https://doi.org/10.1007/s13313-025-01022-9,2,Australasian Plant Pathology,https://openalex.org/W4407751270,NA,2025_Australasian_Plant_Pathology_Mechanisms_of_Cananga_odorata_essential_oil_in_the_control_of_black_sp.pdf,pdfs/2025_Australasian_Plant_Pathology_Mechanisms_of_Cananga_odorata_essential_oil_in_the_control_of_black_sp.pdf,FALSE
Australasian Plant Pathology,2025,1448-6032,issn_online,control,Salvia japonica essential oil as biocontrol agent: suppressing Fusarium oxysporum in Pinus sylversteis Var. Mongolica seedling blight,https://doi.org/10.1007/s13313-025-01027-4,0,Australasian Plant Pathology,https://openalex.org/W4408796029,NA,2025_Australasian_Plant_Pathology_Salvia_japonica_essential_oil_as_biocontrol_agent_suppressing_Fusarium.pdf,pdfs/2025_Australasian_Plant_Pathology_Salvia_japonica_essential_oil_as_biocontrol_agent_suppressing_Fusarium.pdf,FALSE
Australasian Plant Pathology,2024,1448-6032,issn_online,control,A suitable alternative to antifungal agents for the control of early blight disease-Alternaria alternata of tomato,https://doi.org/10.1007/s13313-024-00968-6,8,Australasian Plant Pathology,https://openalex.org/W4392595693,NA,2024_Australasian_Plant_Pathology_A_suitable_alternative_to_antifungal_agents_for_the_control_of_early_b.pdf,pdfs/2024_Australasian_Plant_Pathology_A_suitable_alternative_to_antifungal_agents_for_the_control_of_early_b.pdf,FALSE
Australasian Plant Pathology,2024,1448-6032,issn_online,control,Threatened and Priority listed Melaleuca species from Western Australia display high susceptibility to Austropuccinia psidii in controlled inoculations,https://doi.org/10.1007/s13313-024-00974-8,3,Australasian Plant Pathology,https://openalex.org/W4393377833,https://link.springer.com/content/pdf/10.1007/s13313-024-00974-8.pdf,2024_Australasian_Plant_Pathology_Threatened_and_Priority_listed_Melaleuca_species_from_Western_Australi.pdf,pdfs/2024_Australasian_Plant_Pathology_Threatened_and_Priority_listed_Melaleuca_species_from_Western_Australi.pdf,TRUE
Australasian Plant Pathology,2023,1448-6032,issn_online,control,First detection of Cryptosporiopsis tarraconensis on hazelnut in Türkiye and control potency of some antifungal agents,https://doi.org/10.1007/s13313-023-00906-y,4,Australasian Plant Pathology,https://openalex.org/W4318049690,NA,2023_Australasian_Plant_Pathology_First_detection_of_Cryptosporiopsis_tarraconensis_on_hazelnut_in_T_rki.pdf,pdfs/2023_Australasian_Plant_Pathology_First_detection_of_Cryptosporiopsis_tarraconensis_on_hazelnut_in_T_rki.pdf,FALSE
Australasian Plant Pathology,2023,1448-6032,issn_online,control,Using protoplast fusion to improve biocontrol ability of Fusarium oxysporum against Egyptian broomrapes (Phelipanche Aegyptiaca),https://doi.org/10.1007/s13313-023-00957-1,3,Australasian Plant Pathology,https://openalex.org/W4389526575,NA,2023_Australasian_Plant_Pathology_Using_protoplast_fusion_to_improve_biocontrol_ability_of_Fusarium_oxys.pdf,pdfs/2023_Australasian_Plant_Pathology_Using_protoplast_fusion_to_improve_biocontrol_ability_of_Fusarium_oxys.pdf,FALSE
Australasian Plant Pathology,2023,1448-6032,issn_online,control,Wheat leaf rust control through biofabricated zinc oxide nanoparticles,https://doi.org/10.1007/s13313-023-00949-1,8,Australasian Plant Pathology,https://openalex.org/W4387105103,NA,2023_Australasian_Plant_Pathology_Wheat_leaf_rust_control_through_biofabricated_zinc_oxide_nanoparticles.pdf,pdfs/2023_Australasian_Plant_Pathology_Wheat_leaf_rust_control_through_biofabricated_zinc_oxide_nanoparticles.pdf,FALSE
Australasian Plant Pathology,2022,1448-6032,issn_online,control,Alternative control of downy mildew and grapevine leaf spot on Vitis labrusca,https://doi.org/10.1007/s13313-021-00836-7,9,Australasian Plant Pathology,https://openalex.org/W4206932151,NA,2022_Australasian_Plant_Pathology_Alternative_control_of_downy_mildew_and_grapevine_leaf_spot_on_Vitis_l.pdf,pdfs/2022_Australasian_Plant_Pathology_Alternative_control_of_downy_mildew_and_grapevine_leaf_spot_on_Vitis_l.pdf,FALSE
Australasian Plant Pathology,2022,1448-6032,issn_online,control,Evaluation of economic fungicide strategies for control of ascochyta blight in field pea in southern Australia,https://doi.org/10.1007/s13313-022-00877-6,3,Australasian Plant Pathology,https://openalex.org/W4293136826,NA,2022_Australasian_Plant_Pathology_Evaluation_of_economic_fungicide_strategies_for_control_of_ascochyta_b.pdf,pdfs/2022_Australasian_Plant_Pathology_Evaluation_of_economic_fungicide_strategies_for_control_of_ascochyta_b.pdf,FALSE
